h1 arriba;h1 abajo;h2;Nombre de la Marca;Telefono;Dirección;Ciudad;email;email2;facebook;Contacto;Tienen Web;NO;Links
NO;NO;NO;Dana Spa;(571) 5718970 (571) 7024912;Avenida 68 # 23 - 45;Bogotá;Danna.spa@hotmail.com;NO;NO;Claudia;No;NO;NO
NO;NO;NO;Bellas y Esbeltas IPS SAS;2113767 y 3212509143;Cra 24 calle 61D-83;Bogotá;NO;NO;https://www.facebook.com/BellasyesbeltasBog;NO;No;NO;http://joinandenjoy.co/bellas-y-esbeltas-450679/
NO;NO;NO;clinica estetica laser;2148015 y 3008301378;Carrera 46 #126-33;Bogotá;info@clinicaesteticalaser.org;NO;NO;NO;Si;clinicaesteticalaser.org;NO
NO;NO;NO;Armonia naturall spa;4732811 / 3013791069;carrera 13 # 119 - 27;Bogotá;armonianaturallspa@gmail.com;NO;https://www.facebook.com/pages/Armonianaturallspa/117872684938543?pnref=lhc?utm_source=Groupon&utm_medium=LinkSocio;NO;No;NO;NO
NO;NO;NO;Dr. Fernando ruiz gaitan; (057 + 1) 523 1896 , (057 + 1) 523 1897; Cr 9b # 117a - 74 ;Bogotá;NO;NO;https://www.facebook.com/fernando.ruizgaitan;NO;si;http://www.fernandoruizgaitan.com/;http://joinandenjoy.co/dr-fernando-ruiz-gaitan-455032/
NO;NO;NO;Wow Gentestilos Peluquería & Spa;5205895 - 4852287 - 3206097465 - 3106722159;carrera 18b n 108 - 17;Bogotá;info@wowgentestilos.co;NO;https://www.facebook.com/wowgentestilos?utm_source=Groupon&utm_medium=LinkSocio;NO;si;http://www.wowgentestilos.co/;NO
NO;NO;NO;Marisol Caro;7551404 - 3005082579;Calle 127A # 7-53 - Consultorio 6002;Bogotá;mcaroestetica@gmail.com;NO;https://www.facebook.com/mcaroestetica;NO;si;http://marisolcaro.com/index.html;NO
NO;NO;NO;Maja Spa; 3470782 300 6328903 - 318 5809398;Cll. 74 # 15-42 2do. piso ;Bogotá;info@majaspa.com, maja_spa@hotmail.com ;NO;NO;NO;si;http://www.majaspa.com/;NO
NO;NO;NO;bioesthetic laser;691 58 77-4826486 311 228 6662;Calle 95 no 11 a 68 piso 3;Bogotá;marelena966@hotmail.com;NO;NO;MARTHA ELENA GOMEZ RODRIGUEZ ;si;http://www.bioestheticlaser.co/;NO
NO;NO;NO;adriana barreneche;6170096;Carrera 11 # 97-23 CONS 403 B;NO;abmedicinaestetica@gmail.com;NO;NO;NO;NO;NO;NO
